model,auc,auc_dev,prec_top10,lift_top10,prec_top20,lift_top20,prec_top30,lift_top30,brier,logloss,mean_pred,actual_rate,calibration_gap,feature_set,n_features,train_time_s
RidgeClf,0.9228571428571428,0.4228571428571428,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.08228358316947047,0.3356378155163069,0.7218705168976091,0.9887005649717514,0.26683004807414235,raw+lags,80,0.0057735443115234375
RidgeClf,0.9085714285714286,0.4085714285714286,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.08066330441445828,0.3320371144100814,0.7248464238327729,0.9887005649717514,0.26385414113897854,raw+lags+interactions,104,0.02188730239868164
LightGBM,0.9028571428571428,0.4028571428571428,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.01131094852157796,0.08036268645069848,0.998882832457555,0.9887005649717514,0.010182267485803642,raw+lags,80,0.3133730888366699
RidgeClf,0.8848314606741573,0.3848314606741573,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.08173662315242908,0.33443250083000087,0.7228536550687229,0.9888888888888889,0.26603523382016603,raw,20,0.003462553024291992
LightGBM,0.88,0.38,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.011389995292656597,0.08595875433912784,0.9984621382618463,0.9887005649717514,0.00976157329009486,raw+lags+interactions,104,0.34876346588134766
Ensemble_Trees,0.8771428571428571,0.3771428571428571,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.01112754688334153,0.056585053035052554,0.9905840801729663,0.9887005649717514,0.0018835152012148804,raw+lags,80,0.0
RandomForest,0.8742857142857143,0.37428571428571433,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.011510728906696835,0.05477378915510543,0.9842819093964876,0.9887005649717514,0.004418655575263775,raw+lags,80,0.8187921047210693
Ensemble_All,0.8714285714285714,0.37142857142857144,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.014079539277560798,0.08970302022327532,0.9433033940636951,0.9887005649717514,0.045397170908056284,raw+lags,80,0.0
LightGBM_Tuned,0.86,0.36,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.011478252196884534,0.07316029568293263,0.9973241278064041,0.9887005649717514,0.00862356283465271,raw+lags,80,6.371378421783447
Logistic,0.8514285714285714,0.3514285714285714,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.03149572816577076,0.12657491488888864,0.96887347915926,0.9887005649717514,0.019827085812491374,raw+lags,80,0.0374150276184082
Ensemble_All,0.8398876404494382,0.3398876404494382,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.013597793359164383,0.08859498061362678,0.9440886001533927,0.9888888888888889,0.04480028873549624,raw,20,0.0
Ensemble_All,0.8314285714285714,0.3314285714285714,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.014894295067709007,0.09804614563177227,0.9345107501260548,0.9887005649717514,0.05418981484569663,raw+lags+interactions,104,0.0
Ensemble_Trees,0.8257142857142857,0.32571428571428573,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.011283492959341846,0.05968037540294067,0.9901570950185361,0.9887005649717514,0.0014565300467846987,raw+lags+interactions,104,0.0
Logistic,0.8230337078651686,0.3230337078651686,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.017350837517942707,0.07603306331985511,0.9820681916578644,0.9888888888888889,0.0068206972310245195,raw,20,0.0049097537994384766
RidgeClf,0.8202247191011236,0.3202247191011236,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.08118650586937493,0.3328129483774628,0.7244997706640343,0.9888888888888889,0.26438911822485467,all_67_core,67,0.0542147159576416
RandomForest,0.8171428571428572,0.31714285714285717,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.012124320984574324,0.05982270236395204,0.9834216481289068,0.9887005649717514,0.00527891684284465,raw+lags+interactions,104,0.855196475982666
LightGBM,0.803370786516854,0.303370786516854,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.01112365288644535,0.08967756738188362,0.9988926082225813,0.9888888888888889,0.010003719333692374,all_67_core,67,0.2642381191253662
RandomForest,0.7921348314606742,0.2921348314606742,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.01179139538099553,0.06010524894054762,0.9847061294832391,0.9888888888888889,0.004182759405649827,raw,20,0.5138671398162842
Ensemble_Trees,0.7893258426966292,0.2893258426966292,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.011198327316609389,0.06003855549592184,0.9899432595898762,0.9888888888888889,0.0010543707009872394,raw,20,0.0
LightGBM_Tuned,0.7865168539325842,0.2865168539325842,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.011677942383688997,0.06471232409876233,0.9923101304468801,0.9888888888888889,0.0034212415579911726,all_67_core,67,5.490122556686401
Logistic,0.7828571428571429,0.2828571428571429,1.0,1.0114285714285713,1.0,1.0114285714285713,1.0,1.0114285714285713,0.022614759140105873,0.10520504973100597,0.9772360417418923,0.9887005649717514,0.011464523229859136,raw+lags+interactions,104,0.05901980400085449
LightGBM_Tuned,0.7443820224719101,0.2443820224719101,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.011912438408728989,0.06882785345662429,0.9897799754241408,0.9888888888888889,0.0008910865352518282,raw,20,2.8211941719055176
Ensemble_All,0.7415730337078652,0.2415730337078652,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.013447064100540975,0.08792250273436344,0.945120866170733,0.9888888888888889,0.04376802271815594,all_67_core,67,0.0
Ensemble_Trees,0.6741573033707865,0.1741573033707865,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.010999351356193806,0.0597720098247575,0.990180946926591,0.9888888888888889,0.0012920580377020485,all_67_core,67,0.0
RandomForest,0.6657303370786517,0.1657303370786517,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.01161019050578831,0.06512808121379729,0.9832324283160113,0.9888888888888889,0.0056564605728776085,all_67_core,67,0.7253079414367676
LightGBM,0.6404494382022472,0.1404494382022472,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.011841055421433632,0.10316252619317119,0.9967058450452091,0.9888888888888889,0.007816956156320165,raw,20,0.1748654842376709
Logistic,0.5646067415730337,0.0646067415730337,1.0,1.0112359550561798,1.0,1.0112359550561798,1.0,1.0112359550561798,0.0173577809576364,0.1075213062978396,0.9833724551337109,0.9888888888888889,0.005516433755178074,all_67_core,67,0.022501468658447266
XGBoost,0.5,0.0,0.9887005649717514,1.0,0.9887005649717514,1.0,0.9887005649717514,1.0,0.01117177058028073,0.061891319077225664,0.9885874390602112,0.9887005649717514,0.00011312591154022389,raw+lags,80,0.32233095169067383
XGBoost,0.5,0.0,0.9888888888888889,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,0.01098787624173296,0.06105686313010816,0.9884177446365356,0.9888888888888889,0.00047114425235328383,raw,20,0.2339787483215332
XGBoost,0.5,0.0,0.9887005649717514,1.0,0.9887005649717514,1.0,0.9887005649717514,1.0,0.01117177058028073,0.061891319077225664,0.9885874390602112,0.9887005649717514,0.00011312591154022389,raw+lags+interactions,104,0.3092617988586426
XGBoost,0.5,0.0,0.9888888888888889,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,0.01098787624173296,0.06105686313010816,0.9884177446365356,0.9888888888888889,0.00047114425235328383,all_67_core,67,0.2844276428222656
