target,mean_holdout,std_holdout,min_holdout,max_holdout,n_splits,all_positive,is_binary,avg_n_features
tgt_consolidation_5,0.3668262748063083,0.046788463914753116,0.3146534653465347,0.4050641741071429,3,True,True,20.0
tgt_consolidation_3,0.3562602901406706,0.03331480793030251,0.31903983549075954,0.38328804347826084,3,True,True,20.0
tgt_breakout_any_10,0.3538448864987789,0.1496344061976898,0.24803738317757007,0.4596523898199877,2,False,True,20.0
tgt_breakout_any_5,0.34275942267008513,0.07420603089362894,0.2618867924528302,0.40771610242309686,3,True,True,20.0
tgt_breakout_up_3,0.33511661020366085,0.026936028759860432,0.3119046165119689,0.36465169394746866,3,True,True,20.0
tgt_vol_expansion_10,0.327367644353955,0.04507514380740806,0.28016756635177686,0.3699646059137045,3,True,True,20.0
tgt_breakout_up_5,0.3147238902874809,0.019043661212510197,0.29962205689575927,0.33611720574704507,3,True,True,20.0
tgt_breakout_down_3,0.31450308344198963,0.0022780853492058595,0.3130821957935439,0.31713068181818194,3,True,True,20.0
tgt_breakout_any_3,0.30809110231734904,0.06279187616686384,0.23674973674973676,0.3549701249321021,3,True,True,20.0
tgt_breakout_down_5,0.30489058284112786,0.008925701890863707,0.2963089542036911,0.31412456332045746,3,True,True,20.0
tgt_breakout_up_10,0.2948946550159165,0.03589034578217307,0.25697563473039964,0.3283361486486486,3,True,True,20.0
tgt_breakout_down_10,0.2820448772154056,0.031116768867948792,0.2625588697017267,0.31793123458581163,3,True,True,20.0
tgt_crash_10,0.25042629791772103,0.02873483323336275,0.23003811754154302,0.283290461256563,3,True,True,20.0
tgt_vol_expansion_5,0.2485471324871011,0.048887324288868265,0.20390519568151144,0.30078955781981953,3,True,True,20.0
tgt_mean_reversion_5,0.24131756453848863,0.1428115169229881,0.14033457249070636,0.3423005565862709,2,False,True,20.0
tgt_tail_event_5,0.22929932304543613,0.04509594794087367,0.19544643985453325,0.28049136321195156,3,True,True,20.0
tgt_liquidation_cascade_3,0.2193361908554666,0.07298679772529895,0.16682166937921417,0.3026788386710566,3,True,True,20.0
tgt_tail_event_3,0.20642195171713074,0.05349680632455795,0.171337181002712,0.26799503585217876,3,True,True,20.0
tgt_liquidation_cascade_5,0.2032758740791526,0.055123315453716785,0.1611819403581417,0.26567082111436946,3,True,True,20.0
tgt_crash_5,0.19563509207613494,0.05604403665829503,0.14994618876046983,0.25816993464052285,3,True,True,20.0
tgt_crash_3,0.19373511740165272,0.03587493529070122,0.1690491661251895,0.2348871860366113,3,True,True,20.0
tgt_profitable_short_1,0.19367084702814696,0.014586952056795591,0.18263736263736274,0.21020919695362972,3,True,True,20.0
tgt_profitable_long_1,0.19119894303204,0.019602082055050964,0.17081752707680464,0.20991549604916604,3,True,True,20.0
tgt_tail_event_1,0.17443361692524353,0.05418345294057286,0.1348117664990094,0.23617815990697344,3,True,True,20.0
tgt_fill_prob_short_1,0.1649628252788104,0.33186703020372355,-0.0697026022304833,0.3996282527881041,2,False,True,20.0
tgt_alpha_1,0.14393248698566863,0.01536300454660315,0.1266033410848182,0.15588300507550623,3,True,False,5.666666666666667
tgt_relative_ret_1,0.14393248698566863,0.01536300454660315,0.1266033410848182,0.15588300507550623,3,True,False,5.666666666666667
tgt_profitable_short_3,0.12839719146939788,0.006675946706228629,0.12077743378052985,0.13321837343189658,3,True,True,20.0
tgt_profitable_long_3,0.12496405242082094,0.010090749621523792,0.11546488000439337,0.1355572266087368,3,True,True,20.0
tgt_fill_prob_long_1,0.12155840707354254,0.11539357840383332,0.039962825278810454,0.20315398886827463,2,False,True,20.0
tgt_regime_change_5,0.10003815466218784,0.019428169434031466,0.07864265494530498,0.11657784011220196,3,True,True,20.0
tgt_profitable_short_5,0.09588535664232771,0.024273033448524585,0.06980056980056981,0.11780851998243291,3,True,True,20.0
tgt_profitable_long_5,0.09214972109706372,0.026763127149967963,0.06749330409803078,0.12061207972674515,3,True,True,20.0
tgt_mid_reversion_1,0.0817031868126778,0.35475940835362524,-0.16914959652389816,0.33255597014925375,2,False,True,20.0
tgt_adverse_selection_1,0.0801112049696057,0.029416003778713545,0.05262002743484229,0.11113329936235561,3,True,True,14.0
tgt_profitable_short_10,0.07512979926390635,0.037862921407889376,0.04807546336548951,0.11840000000000006,3,True,True,20.0
tgt_profitable_long_10,0.07269798759199693,0.044029603723332485,0.03776115875950459,0.12215342277261787,3,True,True,20.0
tgt_autocorr_break_5,0.06176716253802302,0.030060447130993286,0.035678715800574134,0.09464003164556967,3,True,True,20.0
tgt_mid_reversion_3,0.05548200221986854,0.03325421412103388,0.03196772191185604,0.07899628252788105,2,False,True,20.0
tgt_relative_ret_5,0.04505492398129133,0.016999222175317043,0.027232772796683347,0.06109002581796885,3,True,False,3.3333333333333335
tgt_alpha_5,0.04505492398129133,0.016999222175317043,0.027232772796683347,0.06109002581796885,3,True,False,3.3333333333333335
tgt_alpha_3,0.044136402307117496,0.018729352720129534,0.025466893814634406,0.06292503103961333,3,True,False,3.0
tgt_relative_ret_3,0.044136402307117496,0.018729352720129534,0.025466893814634406,0.06292503103961333,3,True,False,3.0
tgt_best_side_3,0.0380558873467296,0.02243717604139955,0.02219040801717964,0.05392136667627956,2,False,True,20.0
tgt_adverse_selection_5,0.030425247303035308,0.024271667246644743,0.007202041264266934,0.05562456009605432,3,True,True,14.0
tgt_adverse_selection_3,0.028485179167307435,0.039017033856521624,-0.012994505494505482,0.06445347352816022,3,False,True,9.666666666666666
tgt_regime_change_10,0.022262525037010022,0.030986364174856063,-0.009649393152232899,0.05223193741371379,3,False,True,20.0
tgt_best_side_5,-0.014824083635025465,0.008529515679666465,-0.020855362012354606,-0.008792805257696323,2,False,True,20.0
tgt_fill_prob_long_3,-0.016697588126159568,0.26893671640675737,-0.20686456400742115,0.173469387755102,2,False,True,20.0
tgt_fill_prob_short_3,-0.056034512486981936,0.21330590447363781,-0.20686456400742115,0.09479553903345728,2,False,True,20.0
tgt_fill_prob_short_5,-0.056034512486981936,0.21330590447363781,-0.20686456400742115,0.09479553903345728,2,False,True,20.0
tgt_max_drawdown_short_3,-0.05891286418163655,,-0.05891286418163655,-0.05891286418163655,1,False,False,3.0
tgt_max_drawup_long_3,-0.05891286418163655,,-0.05891286418163655,-0.05891286418163655,1,False,False,3.0
tgt_best_side_1,,,,,0,False,True,20.0
tgt_optimal_action_5,,,,,0,False,True,20.0
tgt_ret_sign_1,,,,,0,False,True,20.0
tgt_ret_sign_10,,,,,0,False,True,14.0
tgt_ret_sign_3,,,,,0,False,True,16.333333333333332
tgt_ret_sign_5,,,,,0,False,True,15.0
