target,is_binary,n_features,features,holdout_score,n_train,n_test,metric,split
tgt_adverse_selection_1,True,20,"is_swing_low, fib_vol_ratio, taylor_price_a4_z, size_escalation, vwap_gravity, is_swing_high, response_asymmetry, lz_complexity_norm, total_energy, hilbert_mean_freq, taylor_complexity_z, trade_rate_decay_z, ll_streak_z, permutation_entropy, dist_to_equal_high_bps_z, breakout_up_bps_5_z, choch_net_z, hilbert_mean_amplitude_z, ob_net_10_z, taylor_complexity",0.07658028811161921,2592,540,AUC_dev,1
tgt_adverse_selection_3,True,20,"support_touches_20_z, trade_pct_q2, dist_to_resistance_10_bps_z, range_compression_5, taylor_price_a4_z, taylor_price_ofi_alignment, liq_pool_below_20_z, donchian_width_change_20, donchian_width_bps_20_z, hilbert_mean_freq, liq_void_count_10_z, donchian_width_bps_20, convex_hull_area, choch_net_z, permutation_entropy_z, bos_bearish_count_5, avg_surprise_z, fvg_bullish_size_bps_z, equal_lows_20, vwap_gravity",-0.012994505494505482,2592,540,AUC_dev,1
tgt_adverse_selection_5,True,20,"temperature_change_z, hilbert_mean_freq, te_price_to_volume_z, side_sequence_entropy_z, intracandle_reversal, ew_vol_exhaustion_z, burstiness, te_price_to_volume, dist_to_support_5_bps, vol_price_feedback_z, dow_sin, kyle_lambda_z, taylor_price_rate_divergence_z, shannon_size_diversity, flash_event_count, price_curvature_z, inter_trade_std_z, vwap_gravity_z, dist_to_resistance_10_bps_z, side_switch_rate",0.007202041264266934,2592,540,AUC_dev,1
tgt_alpha_1,False,6,"is_swing_high, is_swing_low, resistance_touches_20, support_touches_20, breakout_net_10, dist_to_resistance_20_bps",0.14931111479668147,2592,540,R2,1
tgt_alpha_3,False,3,"support_touches_20, resistance_touches_20, dist_to_resistance_20_bps",0.06292503103961333,2592,540,R2,1
tgt_alpha_5,False,3,"support_touches_20, resistance_touches_20, dist_to_resistance_20_bps",0.06109002581796885,2592,540,R2,1
tgt_autocorr_break_5,True,20,"avg_body_ratio_5, atr_5_z, graph_edge_density_z, atr_5, fib_wave_avg_dist, atr_10_z, range_compression_5, atr_percentile_10_z, avg_notional_per_trade, avg_upper_wick_5, lower_wick_ratio, avg_lower_wick_5_z, ob_net_10, ew_swing_count, standing_wave_ratio_z, range_compression_10, liq_void_up_bps_z, three_soldiers, size_imbalance, wavelet_energy_s2_z",0.035678715800574134,2592,540,AUC_dev,1
tgt_best_side_1,True,20,"is_swing_low, is_swing_high, low, volume_pct_q3_z, dist_to_support_5_bps, size_imbalance, ms_bearish_5, standing_wave_ratio_z, time_to_high_pct, trade_size_iqr, response_asymmetry, wavelet_energy_s2_z, dist_to_support_20_bps, gap_fill_rate_10_z, hilbert_mean_freq, eigen_ratio_z, ew_wave_symmetry_z, market_force_z, te_price_to_volume, volume_q1_pct",,2592,540,AUC_dev,1
tgt_best_side_3,True,20,"hilbert_std_amplitude, trade_size_iqr, ew_last_wave_pct, vpin, is_swing_low, fib_vol_ratio, market_force_z, avg_buy_size_z, atr_10_z, kinetic_energy, dist_to_resistance_20_bps, rqa_recurrence_rate, nash_balance, hilbert_mean_freq, ofi_shift_z, burstiness, max_drawdown, flash_event_count, std_trade_size_z, median_trade_size_z",0.05392136667627956,2592,540,AUC_dev,1
tgt_best_side_5,True,20,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_high, is_swing_low, gap_fill_rate_10, max_drawdown, hurst_exponent, total_energy, hilbert_amp_freq_corr_z, predator_follows_prey_z, max_drawup, hilbert_amp_freq_corr, sub_regime_transitions, avg_surprise, rqa_recurrence_rate, hilbert_std_amplitude_z, bernoulli, stop_hunt_up_score_z, market_temperature",,2592,540,AUC_dev,1
tgt_breakout_any_10,True,20,"inter_trade_std_z, max_drawup, atr_change_pct_14, volume_per_second_std, price_path_length, trade_rate_std, market_temperature, burstiness, monotonicity_score, flash_event_count, trade_time_entropy, max_drawdown, sweep_count_z, sweep_count, ew_swing_count, total_energy, max_up_sweep_z, max_buy_run, te_price_to_volume, eigen_ratio_z",0.4596523898199877,2592,540,AUC_dev,1
tgt_breakout_any_3,True,20,"burstiness, trade_rate_std, volume_per_second_std, inter_trade_std_z, atr_change_pct_14, trade_time_entropy, max_drawdown, taylor_rate_r2, market_temperature, price_path_length, monotonicity_score, kinetic_energy, max_drawup, te_price_to_volume_z, quartile_vol_ratio_z, total_energy, te_price_to_volume, vol_price_feedback_z, max_trades_per_second_z, max_buy_run",0.33255344527020825,2592,540,AUC_dev,1
tgt_breakout_any_5,True,20,"atr_change_pct_14, inter_trade_std_z, volume_per_second_std, trade_rate_std, burstiness, trade_time_entropy, max_drawup, taylor_rate_r2, max_drawdown, market_temperature, flash_event_count_z, quartile_vol_ratio_z, max_up_sweep_z, arrival_time_kurtosis, price_path_length, sweep_count_z, fib_intertime_ratio_pct, eigen_ratio_z, kinetic_energy, te_net_direction_z",0.40771610242309686,2592,540,AUC_dev,1
tgt_breakout_down_10,True,20,"close_to_fair_price, max_drawup, dist_to_support_5_bps, dist_to_r1_bps, time_to_high_pct, is_swing_low, low, cvd_close_vs_range, breakout_up_bps_5_z, dist_to_resistance_10_bps_z, first_half_return, atr_change_pct_14, loss_aversion_ratio_z, inter_trade_std_z, total_energy, vol_asymmetry, dist_to_resistance_5_bps, aggression_imbalance_z, poc_migration_bps_z, max_up_sweep_z",0.31793123458581163,2592,540,AUC_dev,1
tgt_breakout_down_3,True,20,"close_to_fair_price, max_drawup, dist_to_r1_bps, time_to_high_pct, dist_to_support_5_bps, is_swing_low, cvd_close_vs_range, loss_aversion_ratio_z, dist_to_resistance_5_bps, poc_migration_bps_z, first_half_return, aggression_imbalance_z, vol_asymmetry, cvd_max, golden_ratio_composite, atr_change_pct_14, volume_profile_skew_z, ofi_persistence, burstiness, uptick_pct",0.3130821957935439,2592,540,AUC_dev,1
tgt_breakout_down_5,True,20,"close_to_fair_price, max_drawup, dist_to_r1_bps, dist_to_support_5_bps, time_to_high_pct, is_swing_low, cvd_close_vs_range, dist_to_resistance_5_bps, loss_aversion_ratio_z, poc_migration_bps_z, aggression_imbalance_z, dist_to_resistance_10_bps_z, breakout_up_bps_5_z, first_half_return, vol_asymmetry, golden_ratio_composite, atr_change_pct_14, total_energy, cvd_max, max_up_sweep_z",0.3042382309992351,2592,540,AUC_dev,1
tgt_breakout_up_10,True,20,"close_to_fair_price, dist_to_r1_bps, is_swing_high, max_drawdown, time_to_high_pct, dist_to_resistance_10_bps_z, cvd_close_vs_range, dist_to_resistance_5_bps, cvd_min, inter_trade_std_z, atr_change_pct_14, trade_rate_std, dist_to_support_5_bps, poc_migration_bps_z, wavelet_energy_s5, ofi_persistence, golden_ratio_composite, volume_per_second_std, convex_hull_area, te_price_to_volume_z",0.25697563473039964,2592,540,AUC_dev,1
tgt_breakout_up_3,True,20,"close_to_fair_price, dist_to_r1_bps, time_to_high_pct, max_drawdown, is_swing_high, dist_to_resistance_5_bps, cvd_close_vs_range, dist_to_support_5_bps, cvd_min, dist_to_resistance_10_bps_z, ofi_persistence, poc_migration_bps_z, golden_ratio_composite, aggression_imbalance_z, loss_aversion_ratio_z, first_half_return, vol_asymmetry, volume_profile_skew_z, dist_to_resistance_20_bps, dist_to_support_20_bps",0.3119046165119689,2592,540,AUC_dev,1
tgt_breakout_up_5,True,20,"close_to_fair_price, dist_to_r1_bps, max_drawdown, time_to_high_pct, dist_to_resistance_5_bps, cvd_close_vs_range, is_swing_high, cvd_min, dist_to_resistance_10_bps_z, dist_to_support_5_bps, poc_migration_bps_z, golden_ratio_composite, ofi_persistence, first_half_return, dist_to_support_20_bps, aggression_imbalance_z, vol_asymmetry, loss_aversion_ratio_z, trade_rate_std, uptick_pct",0.29962205689575927,2592,540,AUC_dev,1
tgt_consolidation_3,True,20,"kinetic_energy, trade_rate_std, volume_per_second_std, atr_change_pct_14, price_path_length, market_temperature, inter_trade_std_z, max_drawup, burstiness, total_energy, monotonicity_score, trade_time_entropy, convex_hull_area, sweep_count, sweep_count_z, max_up_sweep_z, eigen_ratio_z, max_trades_per_second_z, taylor_rate_r2, te_price_to_volume",0.3664529914529915,2592,540,AUC_dev,1
tgt_consolidation_5,True,20,"kinetic_energy, atr_change_pct_14, volume_per_second_std, trade_rate_std, price_path_length, market_temperature, inter_trade_std_z, burstiness, max_drawup, total_energy, monotonicity_score, te_price_to_volume, trade_time_entropy, max_trades_per_second_z, te_price_to_volume_z, sweep_count, vol_price_feedback_z, golden_angle_deviation, breakout_vol_confirm_5, sweep_count_z",0.4050641741071429,2592,540,AUC_dev,1
tgt_crash_10,True,20,"market_temperature, volume_per_second_std, trade_rate_std, price_path_length, sweep_count, eigen_ratio_z, sweep_count_z, max_trades_per_second_z, vol_price_feedback_z, path_length_over_range, max_sell_run, inter_trade_std_z, max_up_sweep_z, wavelet_energy_s5, max_drawdown, kinetic_energy, total_energy, max_drawup, trade_time_entropy, burstiness",0.23003811754154302,2592,540,AUC_dev,1
tgt_crash_3,True,20,"trade_rate_std, volume_per_second_std, market_temperature, vol_price_feedback_z, max_trades_per_second_z, sweep_count, price_path_length, burstiness, wavelet_energy_s5, max_drawdown, trade_time_entropy, turbulence, sweep_count_z, eigen_ratio_z, breakout_net_10, total_energy, ll_streak_z, kinetic_energy, hour_sin, dist_to_support_20_bps",0.1690491661251895,2592,540,AUC_dev,1
tgt_crash_5,True,20,"market_temperature, volume_per_second_std, trade_rate_std, price_path_length, vol_price_feedback_z, wavelet_energy_s5, sweep_count, max_trades_per_second_z, max_drawdown, total_energy, eigen_ratio_z, inter_trade_std_z, kinetic_energy, sweep_count_z, max_sell_run, burstiness, path_length_over_range, monotonicity_score, trade_time_entropy, max_up_sweep_z",0.14994618876046983,2592,540,AUC_dev,1
tgt_fill_prob_long_1,True,20,"side_sequence_entropy_z, response_asymmetry, micro_fear_greed_z, wavelet_energy_s2_z, value_area_overlap_pct, return_reversal_z, liq_pool_above_20_z, taylor_complexity_z, breakout_vol_confirm_5_z, side_switch_rate, range_compression_5, temperature_change_z, taylor_vol_accel_ratio, hh_streak, donchian_width_change_10_z, vpin, lh_count_10, sweep_count, first_half_return, avg_surprise_z",0.20315398886827463,2592,540,AUC_dev,1
tgt_fill_prob_long_3,True,20,"size_imbalance, breakout_up_bps_5_z, side_sequence_entropy_z, response_asymmetry, poc_migration_bps_z, micro_fear_greed_z, wavelet_energy_s2_z, ll_streak_z, value_area_overlap_pct, return_reversal_z, liq_pool_above_20_z, taylor_complexity_z, max_trades_per_second_z, breakout_vol_confirm_5_z, side_switch_rate, range_compression_5, loss_aversion_ratio_z, temperature_change_z, taylor_vol_accel_ratio, hh_streak",0.173469387755102,2592,540,AUC_dev,1
tgt_fill_prob_short_1,True,20,"taylor_dominant_order, kyle_lambda_z, lyapunov_exponent, atr_change_pct_14, hilbert_std_amplitude, ew_first_wave_pct_z, fractal_dimension, choch_count_5_z, taylor_asymmetry_curvature_ratio_z, te_net_direction_z, dist_to_support_5_bps, liq_void_count_10_z, dominant_freq_z, avg_surprise_z, ew_wave_symmetry_z, high_volume_node_pct_z, price_curvature_z, trade_rate_decay_z, mi_side_return_z, herding_ratio",-0.0697026022304833,2592,540,AUC_dev,1
tgt_fill_prob_short_3,True,20,"taylor_ofi_a2, atr_change_pct_14, pv_principal_angle, time_to_high_pct, choch_count_5_z, kyle_lambda_z, fractal_dimension, ew_wave_symmetry_z, price_dipole_z, taylor_dominant_order, high_volume_node_pct_z, liq_void_count_10_z, fvg_bullish_size_bps_z, atr_5_z, low, trade_rate_decay_z, gap_bps_z, lyapunov_exponent, bos_bullish_count_5, vwap_spread_bps",0.09479553903345728,2592,540,AUC_dev,1
tgt_fill_prob_short_5,True,20,"taylor_ofi_a2, atr_change_pct_14, pv_principal_angle, time_to_high_pct, choch_count_5_z, kyle_lambda_z, fractal_dimension, ew_wave_symmetry_z, price_dipole_z, taylor_dominant_order, high_volume_node_pct_z, liq_void_count_10_z, fvg_bullish_size_bps_z, atr_5_z, low, trade_rate_decay_z, gap_bps_z, lyapunov_exponent, bos_bullish_count_5, vwap_spread_bps",0.09479553903345728,2592,540,AUC_dev,1
tgt_liquidation_cascade_3,True,20,"trade_rate_std, volume_per_second_std, market_temperature, max_trades_per_second_z, vol_price_feedback_z, sweep_count, wavelet_energy_s5, price_path_length, turbulence, hurst_exponent, breakout_down_bps_20_z, eigen_ratio_z, trade_time_entropy, hour_sin, burstiness, taylor_rate_r2, session_asia, max_buy_run, breakout_vol_confirm_5_z, max_drawdown",0.16682166937921417,2592,540,AUC_dev,1
tgt_liquidation_cascade_5,True,20,"market_temperature, trade_rate_std, volume_per_second_std, price_path_length, sweep_count, vol_price_feedback_z, max_sell_run, wavelet_energy_s5, burstiness, path_length_over_range, max_drawdown, eigen_ratio_z, max_trades_per_second_z, hurst_exponent, donchian_width_bps_20, trade_time_entropy, kinetic_energy, monotonicity_score, atr_change_pct_14, total_energy",0.1611819403581417,2592,540,AUC_dev,1
tgt_mean_reversion_5,True,20,"taylor_ofi_a2, kyle_lambda_z, high_volume_node_pct_z, herding_ratio_z, atr_change_pct_14, mi_side_return, taylor_asymmetry_curvature_ratio_z, avg_buy_size_z, mi_side_return_z, avg_surprise_z, lyapunov_exponent, time_to_high_pct, vwap_spread_bps, sub_regime_transitions, fractal_dimension, liq_sweep_count_10, fvg_bullish_size_bps_z, bos_bullish_count_5, te_net_direction_z, kyle_lambda",0.14033457249070636,2592,540,AUC_dev,1
tgt_mid_reversion_1,True,20,"lyapunov_exponent, avg_surprise_z, herding_ratio_z, side_switch_rate, taylor_asymmetry_curvature_ratio_z, return_reversal_z, response_asymmetry, herding_ratio, kyle_lambda_z, side_sequence_entropy_z, hilbert_std_freq, uptick_pct, taylor_dominant_order, liq_void_count_10_z, wavelet_energy_s2_z, donchian_width_bps_20, fractal_dimension, dow_sin, liq_pool_above_20_z, liq_pool_above_10_z",-0.16914959652389816,2592,540,AUC_dev,1
tgt_mid_reversion_3,True,20,"avg_surprise_z, taylor_ofi_a2, herding_ratio_z, side_switch_rate, return_reversal_z, mi_side_return_z, response_asymmetry, size_imbalance, herding_ratio, kyle_lambda_z, side_sequence_entropy_z, liq_void_count_10_z, wavelet_energy_s2_z, donchian_width_bps_20, fractal_dimension, liq_pool_above_20_z, liq_pool_above_10_z, hilbert_std_freq_z, vwap_spread_bps, ew_correction_quality_z",0.03196772191185604,2592,540,AUC_dev,1
tgt_optimal_action_5,True,20,"atr_percentile_20, dow_sin, avg_notional_per_trade, flash_event_pct, predator_follows_prey_z, avg_body_ratio_5, hilbert_amp_freq_corr_z, liq_void_up_bps_z, stackelberg_buy_leader, taylor_price_r2, ew_last_wave_pct, choch_count_5_z, atr_10_z, taylor_ofi_r2, lyapunov_exponent, bearish_patterns_5, response_asymmetry, donchian_width_bps_20, burstiness, fib_size_ratio_pct",,2592,540,AUC_dev,1
tgt_profitable_long_1,True,20,"is_swing_low, is_swing_high, low, close_to_fair_price, dist_to_r1_bps, dist_to_resistance_5_bps, dist_to_resistance_20_bps, predator_follows_prey_z, volume_pct_q3_z, dist_to_support_5_bps, ew_swing_count, market_force_z, cvd_close_vs_range, twap_vwap_spread_bps, taylor_ofi_a2, dist_to_support_20_bps, pattern_bias_5, hilbert_amp_freq_corr_z, ohlc_triangle_area_z, donchian_width_bps_20_z",0.1928638059701493,2592,540,AUC_dev,1
tgt_profitable_long_10,True,20,"low, trade_size_iqr, hilbert_std_amplitude, predator_prey_ratio, gap_fill_rate_10, avg_surprise, graph_edge_density_z, bernoulli, liq_void_down_bps_z, avg_lower_wick_5_z, resistance_touches_20, fib_wave_avg_dist_z, ob_net_10_z, max_drawdown, side_switch_rate, atr_percentile_10_z, median_trade_size_z, stackelberg_buy_leader_z, path_length_over_range, market_temperature",0.12215342277261787,2592,540,AUC_dev,1
tgt_profitable_long_3,True,20,"low, hilbert_std_amplitude, is_swing_low, max_drawdown, support_touches_20, predator_prey_ratio, is_swing_high, dist_to_resistance_5_bps, predator_follows_prey_z, ms_bearish_5, herding_ratio, quartile_vol_ratio_z, hilbert_mean_amplitude_z, ofi_shift_z, fvg_bearish_count_10, dist_to_r1_bps, taylor_price_a4_z, donchian_width_change_20, hour_sin, vpin",0.11546488000439337,2592,540,AUC_dev,1
tgt_profitable_long_5,True,20,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_high, is_swing_low, gap_fill_rate_10, rqa_recurrence_rate, max_drawdown, heat_capacity, total_energy, hurst_exponent, max_drawup, hilbert_amp_freq_corr_z, sub_regime_transitions, hilbert_amp_freq_corr, predator_follows_prey_z, avg_surprise, hilbert_std_amplitude_z, market_temperature, fib_wave_avg_dist_z",0.12061207972674515,2592,540,AUC_dev,1
tgt_profitable_short_1,True,20,"is_swing_low, is_swing_high, close_to_fair_price, low, dist_to_r1_bps, dist_to_resistance_5_bps, dist_to_resistance_20_bps, dist_to_support_5_bps, dist_to_support_20_bps, twap_vwap_spread_bps, ew_swing_count, cvd_close_vs_range, hilbert_amp_freq_corr_z, taylor_ofi_a2, pattern_bias_5, market_force_z, lz_complexity_norm, hour_sin, price_jerk_z, fib_intertime_ratio_pct",0.18816598149344843,2592,540,AUC_dev,1
tgt_profitable_short_10,True,20,"low, trade_size_iqr, hilbert_std_amplitude, predator_prey_ratio, gap_fill_rate_10, graph_edge_density_z, avg_surprise, liq_void_down_bps_z, bernoulli, avg_lower_wick_5_z, resistance_touches_20, ob_net_10_z, side_switch_rate, atr_percentile_10_z, median_trade_size_z, max_drawdown, breakout_up_bps_5_z, side_sequence_entropy_z, lh_count_10, path_length_over_range",0.11840000000000006,2592,540,AUC_dev,1
tgt_profitable_short_3,True,20,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_low, max_drawdown, is_swing_high, support_touches_20, ms_bearish_5, dist_to_resistance_5_bps, burstiness, hilbert_mean_amplitude_z, predator_follows_prey_z, hour_sin, fvg_bearish_count_10, donchian_width_change_20, ofi_shift_z, heat_capacity, dist_to_r1_bps, herding_ratio, fib_wave_avg_dist_z",0.13321837343189658,2592,540,AUC_dev,1
tgt_profitable_short_5,True,20,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_high, is_swing_low, max_drawdown, hurst_exponent, gap_fill_rate_10, hilbert_amp_freq_corr_z, total_energy, avg_surprise, sub_regime_transitions, predator_follows_prey_z, hilbert_amp_freq_corr, rqa_recurrence_rate, max_drawup, avg_lower_wick_5_z, hilbert_std_amplitude_z, liq_void_up_bps_z, stop_hunt_up_score_z",0.11780851998243291,2592,540,AUC_dev,1
tgt_regime_change_10,True,20,"flash_event_pct, fractal_dimension, spectral_flatness_z, permutation_entropy, heat_capacity, post_shock_pause_ratio, dominant_freq_z, fib_intertime_ratio_pct, dist_to_resistance_20_bps, mi_side_return, fvg_net, wavelet_energy_s5, permutation_entropy_z, fvg_bearish_count_10, hilbert_std_amplitude, atr_percentile_20, hilbert_mean_amplitude_z, price_jerk_z, ew_correction_quality_z, fib_size_ratio_pct",-0.009649393152232899,2592,540,AUC_dev,1
tgt_regime_change_5,True,20,"eigen_ratio_z, max_trades_per_second_z, inter_trade_std_z, trade_rate_std, market_temperature, volume_per_second_std, vol_price_feedback_z, max_up_sweep_z, price_path_length, sweep_count_z, monotonicity_score, max_drawup, kinetic_energy, post_shock_pause_ratio, wavelet_energy_s5, dow_sin, max_sell_run, taylor_rate_r2, post_shock_size_ratio, atr_change_pct_14",0.10489396892905656,2592,540,AUC_dev,1
tgt_relative_ret_1,False,6,"is_swing_high, is_swing_low, resistance_touches_20, support_touches_20, breakout_net_10, dist_to_resistance_20_bps",0.14931111479668147,2592,540,R2,1
tgt_relative_ret_3,False,3,"support_touches_20, resistance_touches_20, dist_to_resistance_20_bps",0.06292503103961333,2592,540,R2,1
tgt_relative_ret_5,False,3,"support_touches_20, resistance_touches_20, dist_to_resistance_20_bps",0.06109002581796885,2592,540,R2,1
tgt_ret_sign_1,True,20,"is_swing_low, is_swing_high, low, volume_pct_q3_z, dist_to_support_5_bps, size_imbalance, ms_bearish_5, standing_wave_ratio_z, time_to_high_pct, trade_size_iqr, response_asymmetry, wavelet_energy_s2_z, dist_to_support_20_bps, gap_fill_rate_10_z, hilbert_mean_freq, eigen_ratio_z, ew_wave_symmetry_z, market_force_z, te_price_to_volume, volume_q1_pct",,2592,540,AUC_dev,1
tgt_ret_sign_10,True,20,"carrying_capacity_ratio_z, taylor_ofi_a2, dist_to_equal_high_bps_z, vwap_gravity, quartile_vol_ratio_z, lz_complexity_norm, dist_to_equal_high_bps, auction_clearing_speed, vpin, max_sell_run, taylor_curvature_trend_ratio_z, taylor_complexity_z, dist_to_resistance_5_bps, median_trade_size_z, ofi_shift_z, avg_buy_size_z, contrarian_ratio, liq_pool_above_20_z, vwap_spread_bps, avg_notional_per_trade",,2592,540,AUC_dev,1
tgt_ret_sign_3,True,20,"low, taylor_dominant_order, mi_side_return, taylor_price_a4_z, vwap_gravity, ew_correction_quality_z, hilbert_std_amplitude_z, atr_percentile_20, max_up_sweep_z, lyapunov_exponent, price_clustering, value_area_overlap_pct, price_volume_angle_cos_z, fib_time_trade_pct, volume_q1_pct, heat_capacity, equal_lows_20, liq_void_up_bps_z, taylor_asymmetry_curvature_ratio_z, fib_updown_wave_ratio",,2592,540,AUC_dev,1
tgt_ret_sign_5,True,20,"low, sub_regime_transitions, golden_angle_deviation, avg_surprise, ew_correction_quality_z, approx_entropy, price_tick_entropy_z, fib_wave_avg_dist, taylor_complexity_z, atr_5, median_trade_size_z, price_volume_angle_cos_z, gap_down, max_drawdown, permutation_entropy, breakout_up_bps_5_z, side_sequence_entropy_z, first_half_return, taylor_curvature_trend_ratio_z, support_touches_20",,2592,540,AUC_dev,1
tgt_tail_event_1,True,20,"trade_rate_std, market_temperature, volume_per_second_std, sweep_count, price_path_length, eigen_ratio_z, vol_price_feedback_z, burstiness, max_trades_per_second_z, trade_time_entropy, sweep_count_z, max_sell_run, total_energy, max_buy_run, max_up_sweep_z, te_price_to_volume, wavelet_energy_s5, max_drawdown, turbulence, kinetic_energy",0.1348117664990094,2592,540,AUC_dev,1
tgt_tail_event_3,True,20,"market_temperature, trade_rate_std, volume_per_second_std, sweep_count, price_path_length, eigen_ratio_z, sweep_count_z, max_trades_per_second_z, vol_price_feedback_z, max_sell_run, wavelet_energy_s5, path_length_over_range, max_up_sweep_z, inter_trade_std_z, trade_time_entropy, turbulence, burstiness, kinetic_energy, max_drawdown, total_energy",0.171337181002712,2592,540,AUC_dev,1
