lag_bars,lag_minutes,BTCUSDT_acf,ETHUSDT_acf,SOLUSDT_acf,DOGEUSDT_acf,XRPUSDT_acf
0,0,1.0,1.0,1.0,1.0,1.0
1,5,0.72408,0.720505,0.66689,0.73004,0.718072
2,10,0.681271,0.675861,0.625977,0.693981,0.680685
3,15,0.666503,0.663351,0.622189,0.689565,0.672966
4,20,0.643513,0.634996,0.589831,0.658882,0.64483
5,25,0.630691,0.621977,0.576477,0.647859,0.632873
6,30,0.629586,0.624412,0.584975,0.654673,0.637166
7,35,0.609674,0.60175,0.555769,0.6281,0.612494
8,40,0.601856,0.593113,0.546306,0.620212,0.603561
9,45,0.603609,0.597464,0.555895,0.629151,0.60898
10,50,0.589197,0.580648,0.532732,0.60839,0.590557
11,55,0.583707,0.576245,0.52907,0.604124,0.585736
12,60,0.588342,0.584491,0.544599,0.618525,0.596404
13,65,0.571336,0.565439,0.517542,0.594168,0.57597
14,70,0.563542,0.557569,0.510881,0.586981,0.568874
15,75,0.566011,0.562265,0.519854,0.596427,0.574487
16,80,0.553081,0.546168,0.49852,0.576275,0.557201
17,85,0.547011,0.541091,0.494109,0.570842,0.553585
18,90,0.550103,0.548064,0.507423,0.584246,0.562846
19,95,0.53695,0.532461,0.483916,0.563883,0.544384
20,100,0.531576,0.527194,0.478416,0.557957,0.540035
21,105,0.535612,0.534599,0.490883,0.570373,0.548642
22,110,0.523918,0.520814,0.472109,0.552646,0.532967
23,115,0.521675,0.520151,0.469882,0.550973,0.531394
24,120,0.527597,0.529499,0.487233,0.567586,0.543114
25,125,0.51461,0.513916,0.464041,0.545639,0.5264
26,130,0.508601,0.508411,0.457649,0.540238,0.520204
27,135,0.511033,0.514929,0.46846,0.551069,0.528788
28,140,0.499054,0.499816,0.44891,0.531531,0.513198
29,145,0.494786,0.495593,0.444779,0.52909,0.510426
30,150,0.501029,0.504367,0.460283,0.543305,0.520589
31,155,0.488983,0.490962,0.438166,0.524305,0.504635
32,160,0.484316,0.486827,0.434737,0.520394,0.502024
33,165,0.488031,0.494514,0.447431,0.533383,0.511453
34,170,0.477144,0.482013,0.429783,0.51621,0.497624
35,175,0.476334,0.481955,0.429321,0.515652,0.497981
36,180,0.482047,0.491557,0.446907,0.531148,0.509519
37,185,0.469208,0.476614,0.425771,0.510566,0.493028
38,190,0.466108,0.472282,0.421119,0.506922,0.489057
39,195,0.470526,0.478615,0.432642,0.519627,0.499593
40,200,0.458884,0.46613,0.413514,0.501814,0.483982
41,205,0.455495,0.462742,0.411215,0.499242,0.482003
42,210,0.464277,0.473964,0.42831,0.515971,0.494713
43,215,0.45181,0.460743,0.407979,0.497363,0.480903
44,220,0.449385,0.457946,0.40552,0.494865,0.477611
45,225,0.455539,0.468095,0.42025,0.509758,0.489086
46,230,0.446346,0.456599,0.402628,0.493702,0.476611
47,235,0.445831,0.456443,0.403473,0.494239,0.476777
48,240,0.453037,0.467186,0.42074,0.510083,0.489753
49,245,0.441068,0.453146,0.398394,0.490887,0.473701
50,250,0.438012,0.45052,0.395708,0.488108,0.471014
51,255,0.44383,0.459083,0.409723,0.501592,0.482224
52,260,0.434036,0.447484,0.392643,0.484713,0.468448
53,265,0.432591,0.446042,0.391906,0.483111,0.467768
54,270,0.438671,0.455184,0.408393,0.499115,0.479548
55,275,0.428665,0.443,0.388969,0.480648,0.465238
56,280,0.426362,0.44074,0.38721,0.479281,0.463672
57,285,0.431553,0.449998,0.402488,0.493322,0.474415
58,290,0.422353,0.437975,0.385205,0.477649,0.46305
59,295,0.423052,0.439224,0.387136,0.47809,0.463099
60,300,0.430807,0.450324,0.405153,0.494596,0.475926
61,305,0.420724,0.437542,0.385655,0.476288,0.46043
62,310,0.417776,0.434937,0.382511,0.473529,0.458764
63,315,0.423854,0.443551,0.395059,0.486509,0.469945
64,320,0.413578,0.431323,0.378515,0.470131,0.456645
65,325,0.413639,0.431338,0.379002,0.470027,0.4567
66,330,0.420429,0.442019,0.394757,0.485713,0.469452
67,335,0.4092,0.428106,0.375473,0.468733,0.455568
68,340,0.406759,0.426069,0.374379,0.468189,0.454638
69,345,0.413249,0.436214,0.38986,0.482682,0.464769
70,350,0.403923,0.424877,0.372525,0.467482,0.452147
71,355,0.402845,0.425392,0.373436,0.468374,0.453516
72,360,0.409525,0.435436,0.390801,0.486082,0.46695
73,365,0.398094,0.421933,0.369781,0.466593,0.450207
74,370,0.395847,0.419341,0.367237,0.464316,0.448815
75,375,0.399377,0.425834,0.380975,0.477699,0.457336
76,380,0.390512,0.4153,0.364864,0.461352,0.445397
77,385,0.388387,0.413249,0.365305,0.460081,0.444781
78,390,0.394432,0.423773,0.380211,0.476081,0.456234
79,395,0.382568,0.409336,0.361249,0.458527,0.440928
80,400,0.380244,0.407984,0.35844,0.456932,0.439381
81,405,0.385244,0.416025,0.373645,0.470805,0.449048
82,410,0.376023,0.405549,0.358055,0.456247,0.435936
83,415,0.374498,0.404715,0.35797,0.457784,0.437866
84,420,0.382053,0.41548,0.376528,0.474726,0.450832
85,425,0.370696,0.401542,0.356397,0.456208,0.435809
86,430,0.368713,0.398923,0.354606,0.454202,0.432696
87,435,0.373635,0.406478,0.368624,0.46813,0.443822
88,440,0.3648,0.395207,0.351493,0.451972,0.430887
89,445,0.362763,0.394,0.350275,0.451432,0.430378
90,450,0.368701,0.403556,0.366985,0.468123,0.442175
91,455,0.357751,0.389472,0.347414,0.449776,0.42805
92,460,0.354431,0.387261,0.345253,0.44894,0.425183
93,465,0.360145,0.39639,0.359489,0.462758,0.43548
94,470,0.351223,0.384681,0.344063,0.448972,0.423773
95,475,0.349541,0.384102,0.344856,0.449873,0.424772
96,480,0.356689,0.395572,0.362286,0.466778,0.43701
97,485,0.345816,0.382075,0.342887,0.448504,0.422247
98,490,0.342127,0.37888,0.340194,0.446008,0.420265
99,495,0.347962,0.38705,0.353236,0.458847,0.430588
100,500,0.337856,0.373991,0.337106,0.442993,0.417045
101,505,0.337026,0.374158,0.336414,0.44266,0.416395
102,510,0.343855,0.383943,0.352419,0.458625,0.428342
103,515,0.331626,0.370728,0.333258,0.440404,0.41253
104,520,0.32935,0.369014,0.331044,0.439478,0.409999
105,525,0.335972,0.377573,0.346384,0.454069,0.420361
106,530,0.328424,0.36754,0.330726,0.43851,0.408701
107,535,0.327121,0.365848,0.330958,0.438618,0.409068
108,540,0.336378,0.377834,0.349617,0.457731,0.422409
109,545,0.325541,0.364479,0.331431,0.439029,0.408042
110,550,0.323631,0.363342,0.327587,0.437065,0.406161
111,555,0.329736,0.37183,0.342676,0.451346,0.41608
112,560,0.322403,0.361034,0.325917,0.435971,0.403716
113,565,0.321075,0.360353,0.326684,0.435542,0.403891
114,570,0.328741,0.371712,0.344692,0.452538,0.417641
115,575,0.31775,0.358521,0.324816,0.434692,0.402928
116,580,0.316429,0.356854,0.324551,0.434064,0.400872
117,585,0.324833,0.367585,0.339506,0.448851,0.412264
118,590,0.315409,0.356648,0.324113,0.435312,0.401128
119,595,0.316539,0.357523,0.326163,0.435503,0.400491
120,600,0.324455,0.369392,0.344987,0.453615,0.415657
121,605,0.314344,0.356591,0.325266,0.434953,0.400249
122,610,0.312813,0.355019,0.322925,0.433605,0.398589
123,615,0.321179,0.365302,0.338532,0.447825,0.408443
124,620,0.312282,0.354648,0.322004,0.432093,0.397644
125,625,0.312808,0.353248,0.321984,0.431829,0.397187
126,630,0.322058,0.366089,0.340895,0.448791,0.409667
127,635,0.312382,0.352068,0.323889,0.431496,0.396135
128,640,0.312364,0.353224,0.322218,0.431092,0.395263
129,645,0.319644,0.363502,0.337077,0.445849,0.405868
130,650,0.311413,0.352247,0.322342,0.430112,0.394078
131,655,0.310525,0.353021,0.323515,0.431402,0.395221
132,660,0.318677,0.364405,0.342877,0.449915,0.409651
133,665,0.309071,0.352921,0.32235,0.431168,0.394684
134,670,0.307558,0.350485,0.320561,0.42905,0.391991
135,675,0.315225,0.360949,0.33588,0.443509,0.402932
136,680,0.307511,0.350389,0.317865,0.428056,0.39131
137,685,0.308359,0.350731,0.320195,0.428664,0.392766
138,690,0.317093,0.362372,0.338803,0.445382,0.405706
139,695,0.306897,0.350276,0.320429,0.428019,0.391008
140,700,0.306218,0.350009,0.319774,0.425985,0.389368
141,705,0.314502,0.361203,0.336415,0.441217,0.401641
142,710,0.306055,0.351768,0.320972,0.427579,0.391229
143,715,0.306744,0.352273,0.323058,0.42956,0.391477
144,720,0.316026,0.363888,0.342561,0.447012,0.404937
145,725,0.306724,0.352542,0.322374,0.429431,0.391578
146,730,0.304856,0.350167,0.320172,0.42664,0.389654
147,735,0.312309,0.359836,0.3356,0.440988,0.401282
148,740,0.303027,0.348214,0.317525,0.425064,0.387914
149,745,0.304095,0.348756,0.317398,0.42523,0.386769
150,750,0.312893,0.360084,0.337099,0.441406,0.399747
151,755,0.30219,0.34781,0.317804,0.424175,0.385889
152,760,0.299513,0.346237,0.315186,0.421844,0.384292
153,765,0.307474,0.355788,0.330151,0.437095,0.395914
154,770,0.298543,0.345869,0.314595,0.422835,0.385661
155,775,0.3003,0.347598,0.315676,0.423918,0.385996
156,780,0.309002,0.359427,0.335788,0.442204,0.400987
157,785,0.300688,0.348119,0.317265,0.424249,0.38629
158,790,0.298641,0.346846,0.313692,0.422372,0.384187
159,795,0.305268,0.355491,0.328814,0.436759,0.395978
160,800,0.297609,0.344777,0.312514,0.421493,0.382007
161,805,0.296285,0.344357,0.313701,0.420947,0.381787
162,810,0.304792,0.356537,0.330069,0.438477,0.394883
163,815,0.295026,0.343168,0.309826,0.420578,0.382352
164,820,0.292793,0.342375,0.308801,0.418408,0.381071
165,825,0.300373,0.351896,0.324137,0.433277,0.39084
166,830,0.292778,0.342726,0.309229,0.419187,0.379504
167,835,0.293294,0.344403,0.310506,0.420642,0.381136
168,840,0.302909,0.356052,0.32912,0.438973,0.393697
169,845,0.293278,0.343324,0.309427,0.420133,0.379329
170,850,0.292062,0.341541,0.307595,0.418113,0.37761
171,855,0.298831,0.351152,0.321812,0.431581,0.388522
172,860,0.291078,0.340614,0.304898,0.416458,0.376512
173,865,0.291673,0.341326,0.307514,0.418307,0.377718
174,870,0.300779,0.353025,0.324533,0.435008,0.391308
175,875,0.292325,0.341674,0.30697,0.417629,0.378351
176,880,0.290893,0.341752,0.304745,0.416763,0.376885
177,885,0.298735,0.352231,0.319381,0.431264,0.387625
178,890,0.291732,0.342409,0.303973,0.415923,0.3761
179,895,0.29258,0.343201,0.306479,0.419088,0.378029
180,900,0.301892,0.357043,0.32556,0.436459,0.391401
181,905,0.292401,0.343634,0.306201,0.417525,0.377062
182,910,0.291417,0.342496,0.304659,0.416245,0.375349
183,915,0.300535,0.353304,0.320388,0.43114,0.387418
184,920,0.292429,0.342346,0.303304,0.415419,0.376091
185,925,0.2928,0.343044,0.303674,0.4153,0.375345
186,930,0.302932,0.355968,0.323564,0.433222,0.388841
187,935,0.295239,0.34597,0.30571,0.417333,0.376552
188,940,0.295987,0.345431,0.304205,0.416251,0.375993
189,945,0.303445,0.356922,0.319703,0.431708,0.388083
190,950,0.296633,0.348372,0.304949,0.417608,0.378583
191,955,0.298639,0.349374,0.308197,0.419815,0.378621
192,960,0.307489,0.36155,0.326224,0.436365,0.393267
193,965,0.298764,0.350361,0.307505,0.417838,0.378701
194,970,0.298303,0.348611,0.304282,0.4155,0.377175
195,975,0.308172,0.360213,0.321077,0.429757,0.388834
196,980,0.301596,0.350993,0.305697,0.414841,0.377822
197,985,0.303071,0.353464,0.306536,0.415738,0.378542
198,990,0.312974,0.364039,0.324159,0.431931,0.393248
199,995,0.305705,0.354404,0.306713,0.415808,0.379255
200,1000,0.305131,0.35422,0.305758,0.415517,0.378919
201,1005,0.313182,0.364425,0.321239,0.430556,0.391529
202,1010,0.306979,0.356924,0.306365,0.417789,0.380538
203,1015,0.309549,0.359241,0.308574,0.418059,0.381791
204,1020,0.319676,0.372622,0.327967,0.436193,0.396599
205,1025,0.310606,0.360347,0.309419,0.417935,0.382452
206,1030,0.310497,0.360306,0.307818,0.415415,0.380071
207,1035,0.319005,0.371483,0.322807,0.431123,0.392525
208,1040,0.311215,0.361286,0.305868,0.414808,0.380048
209,1045,0.31263,0.361551,0.308348,0.416285,0.381848
210,1050,0.322607,0.373689,0.325738,0.433331,0.395976
211,1055,0.313861,0.361231,0.308109,0.416712,0.382406
212,1060,0.315197,0.362562,0.308285,0.415413,0.382044
213,1065,0.324004,0.37519,0.323863,0.430707,0.39368
214,1070,0.318136,0.366183,0.30931,0.417391,0.383442
215,1075,0.318908,0.366596,0.310994,0.418102,0.384663
216,1080,0.329464,0.37967,0.329959,0.436482,0.398168
217,1085,0.320648,0.368254,0.310292,0.417934,0.384049
218,1090,0.320586,0.366268,0.309377,0.415992,0.382436
219,1095,0.328458,0.376414,0.323794,0.429579,0.392817
220,1100,0.320914,0.365374,0.306807,0.414747,0.38072
221,1105,0.322125,0.366281,0.30842,0.415232,0.381854
222,1110,0.331433,0.379072,0.326651,0.433418,0.394737
223,1115,0.323096,0.368973,0.309462,0.416007,0.381912
224,1120,0.324087,0.369563,0.307294,0.416575,0.381371
225,1125,0.331456,0.379417,0.322647,0.431669,0.392451
226,1130,0.325227,0.370622,0.30899,0.417388,0.38013
227,1135,0.325271,0.370562,0.310441,0.418552,0.382367
228,1140,0.334499,0.38353,0.329424,0.436281,0.396258
229,1145,0.325696,0.37127,0.310739,0.418037,0.381205
230,1150,0.32475,0.369631,0.307607,0.416136,0.379498
231,1155,0.332238,0.380031,0.3234,0.431595,0.390275
232,1160,0.324124,0.369434,0.306162,0.416164,0.378234
233,1165,0.325374,0.370713,0.307528,0.41693,0.379372
234,1170,0.335151,0.382537,0.325639,0.434078,0.392249
235,1175,0.32509,0.370192,0.307889,0.417175,0.378503
236,1180,0.327656,0.371933,0.309248,0.417874,0.378828
237,1185,0.335011,0.382406,0.325033,0.433189,0.390833
238,1190,0.328559,0.37391,0.311515,0.420027,0.379855
239,1195,0.33008,0.375641,0.312739,0.421952,0.381127
240,1200,0.339695,0.38786,0.331866,0.441006,0.395658
241,1205,0.332131,0.376896,0.314092,0.42336,0.381628
242,1210,0.330039,0.374649,0.31217,0.420676,0.380261
243,1215,0.338311,0.384732,0.327444,0.434604,0.391338
244,1220,0.331867,0.375546,0.31252,0.420001,0.379446
245,1225,0.333215,0.376701,0.313866,0.420912,0.379849
246,1230,0.344518,0.389918,0.331961,0.438451,0.393762
247,1235,0.33595,0.378771,0.314669,0.42226,0.381239
248,1240,0.336373,0.379677,0.315623,0.422411,0.37989
249,1245,0.344616,0.391284,0.332742,0.438271,0.391386
250,1250,0.337982,0.3815,0.31818,0.423963,0.381078
251,1255,0.340527,0.384321,0.321811,0.426241,0.382483
252,1260,0.350324,0.39706,0.340031,0.445027,0.396541
253,1265,0.34201,0.385168,0.322086,0.428474,0.382823
254,1270,0.34303,0.385806,0.321749,0.427273,0.38086
255,1275,0.350724,0.396978,0.338672,0.442748,0.39409
256,1280,0.344392,0.387157,0.323399,0.429624,0.381881
257,1285,0.346276,0.389403,0.324471,0.430273,0.383433
258,1290,0.355605,0.401965,0.344637,0.449206,0.397164
259,1295,0.348771,0.391212,0.327393,0.433907,0.383998
260,1300,0.350483,0.393439,0.328892,0.43468,0.384182
261,1305,0.359696,0.405263,0.346545,0.45129,0.39735
262,1310,0.354313,0.396838,0.333199,0.437986,0.388158
263,1315,0.356816,0.399903,0.337461,0.440708,0.390059
264,1320,0.367392,0.412619,0.356032,0.459943,0.40408
265,1325,0.357632,0.40051,0.337914,0.442427,0.38982
266,1330,0.357358,0.400255,0.337547,0.440996,0.388708
267,1335,0.366738,0.411005,0.354086,0.45625,0.401059
268,1340,0.361229,0.402006,0.338204,0.441616,0.390343
269,1345,0.362197,0.404106,0.34095,0.442969,0.392148
270,1350,0.372941,0.416587,0.359767,0.461772,0.406665
271,1355,0.365456,0.406092,0.343405,0.445628,0.39376
272,1360,0.365703,0.406488,0.342728,0.446004,0.393839
273,1365,0.375159,0.419438,0.361367,0.461907,0.407282
274,1370,0.369905,0.412435,0.349281,0.450245,0.397704
275,1375,0.37161,0.415159,0.352833,0.452058,0.398974
276,1380,0.38099,0.427257,0.373044,0.469846,0.413071
277,1385,0.372653,0.415135,0.353296,0.452827,0.399946
278,1390,0.372148,0.41353,0.35199,0.451694,0.398089
279,1395,0.380221,0.425006,0.367085,0.465285,0.409445
280,1400,0.372914,0.414123,0.351456,0.450135,0.397577
281,1405,0.373762,0.415889,0.353641,0.45202,0.397923
282,1410,0.383723,0.429384,0.373908,0.470756,0.413461
283,1415,0.376265,0.419215,0.355219,0.45347,0.40046
284,1420,0.377204,0.419748,0.356696,0.454078,0.401103
285,1425,0.38638,0.431559,0.373839,0.470517,0.413813
286,1430,0.380664,0.424257,0.358774,0.457236,0.403858
287,1435,0.383973,0.426867,0.363964,0.460912,0.405683
288,1440,0.395719,0.442862,0.385854,0.481896,0.422488
